QuesSimText,AnsSimText,Position Title,topic,cluster,positive_percentage,BU,Experience,Attr 3,Age,Attr 5,City,Attr7*
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",每天工作更多的是充满正能量,Software Release Manager,IBM,3.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,需求,Software Release Manager,transformation,11.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你最喜欢的Whitewater工具是什么？,slack,Software Release Manager,others,12.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你最喜欢的Whitewater工具是什么？,zoom,Software Release Manager,others,12.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你希望工作环境发生的一个小改变是什么？,不把工作带回家,Software Release Manager,environment+agile,10.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你觉得IBM是技术导向的么？,技术再好，也得有市场有人用为前提.,Software Release Manager,IBM,3.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你认为你所在的产品或项目最需要什么人才，才能够成功？为什么？比如，深刻理解市场的产品经理，技术大牛，开发，测试，运维，销售等等？,深刻理解市场能够给team带来新机会的人，职位不限,Software Release Manager,project,4.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
如何才能在Lab工作的每一天都有好心情,工作中很难保持好心情，但是一定要有目标，有成就感。,Software Release Manager,work,0.0,1.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
Do you love IBM?,yes,Software Release Manager,IBM,3.0,1.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
Any ideas on team building in Sep? To enjoy BJ's autumn,bbq,Software Release Manager,team,5.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
先客观地问自己，我对目前整体的团队氛围满意吗？,好一些了，我写了blog记录team氛围的变化https://w3-connections.ibm.com/blogs/bjlyyue/entry/team_temperature_outcome_iteration_3?lang=en_us,Software Release Manager,team,5.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你觉得开源软件会带给企业什么改变？,cost saved.,Software Release Manager,open source,9.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你喜欢现在的工作模式吗？,"yes, just expect for evening meetings.",Software Release Manager,work,0.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你最不能忍受的功能是？ （登录慢， 表单填好不能submit，单选框不能点文字选中，etc.）,blocker都不能忍吧,Software Release Manager,others,12.0,0.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
在你的工作范畴中，有可以接触到的技术大牛吗？是谁？,sun zhi gang,Software Release Manager,work+technique,7.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你是否有过开会厌烦症？让你厌烦开会的原因有哪些？,如果会议的outcome不明确，会议会很没有效率。,Software Release Manager,others,12.0,0.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
你和你的团队现在士气如何？,最近3个季度好多了，参见我的blog - https://w3-connections.ibm.com/blogs/bjlyyue/entry/team_temperature_outcome_iteration_3?lang=en_us,Software Release Manager,team,5.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你参加过最大的项目，有多少人同时工作？,50,Software Release Manager,project,4.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你们团队最近一次对技术方案的热烈讨论是什么时候？,每个礼拜,Software Release Manager,team,5.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
What is the most challenging thing in your work in the past 6 months?,team temperature,Software Release Manager,work,0.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你最近在忙什么？,1-1s.,Software Release Manager,others,12.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你觉得 invention disclosure 的意义在哪里？,锻炼思考,Software Release Manager,others,12.0,1.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
"If you could take money from one part of the company and give it to another part of the company, what would you do?",use it to motivate the real talents,Software Release Manager,company management,1.0,0.6,BU1,3.0,0.0,a2,1.0,Beijing,S7
"在转型过程中,你觉得PM的角色应该如何转变才能继续存在下去呢?",pm could be iteration manager or business analyst based on their interest.,Software Release Manager,transformation,11.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你希望公司管理层（BUE及以上，包括CDL或CDL外）应该停止做什么（stop doing）？,正视自身的不足，放低姿态学习其他公司的长处，追求卓越。,Software Release Manager,company management,1.0,0.6666666666666666,BU1,3.0,0.0,a2,1.0,Beijing,S7
"你觉得现在的工作量分配,是否没有办法让你在正常的工时中保留创新的时间,而必须利用个人时间才能进行创新?",一个好的迭代计划，有可能让你安排好时间创新。参考这篇blog - https://w3-connections.ibm.com/blogs/bjlyyue/entry/making_our_iteration_planning_from_good_to_great?lang=en_us,Software Release Manager,work,0.0,1.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
Is the working environment comfortable,so so.,Software Release Manager,environment+agile,10.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你们的项目中开发用的是什么tool来管理defect，RTC，Git，Bugzilla，或者其他?,rtc,Software Release Manager,project,4.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
新技术的学习，目前有什么可以推荐的，谢谢！,机器学习,Software Release Manager,learn+technique,8.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
你觉得 IBM 最需要改变的文化是什么?,激励,Software Release Manager,IBM,3.0,1.0,BU1,3.0,0.0,a2,1.0,Beijing,S7
"If you had $1,000,000 and you could not spend it on yourself, what would you do?",buy a new house,Software Release Manager,others,12.0,0.5681818181818181,BU1,3.0,0.0,a2,1.0,Beijing,S7
Do you like our new Agile Open Office?,还可以吧,Software Test Specialist,environment+agile,10.0,0.5,BU1,2.0,1.0,a3,0.0,Beijing,S2
我们新装修的Agile workspace， 你觉得还有味吗？,有,Software Test Specialist,environment+agile,10.0,0.5,BU1,2.0,1.0,a3,0.0,Beijing,S2
Who updates first in your stand up meeting? ,host,Software Test Specialist,others,12.0,0.5,BU1,2.0,1.0,a3,0.0,Beijing,S2
Who updates first in your stand up meeting? ,host,Software Test Specialist,others,12.0,0.5,BU1,2.0,1.0,a3,0.0,Beijing,S2
Who updates first in your stand up meeting? ,tester or dev,Software Test Specialist,others,12.0,0.5,BU1,2.0,1.0,a3,0.0,Beijing,S2
Do you like our new Agile Open Office?,i do not like it.,Software Developer,environment+agile,10.0,0.5,BU1,2.0,1.0,a3,1.0,Beijing,S2
Do you like our new Agile Open Office?,"yes, indeed.",Software Test Specialist,environment+agile,10.0,0.5,BU1,2.0,1.0,a3,0.0,Beijing,S2
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,这并非是二选一之类的问题， 而是一个双赢的问题和策略。技术的目的是为了满足客户的需求， 而客户的需求往往是杂乱而无序的， 有时候并不能反应真实的需求。所以技术也很重要， 用独立、强大的技术来吸引客户， 才能引导客户需求。引导而不是满足客户，这就是全部。,Software Designer,transformation,11.0,0.6,BU1,2.0,1.0,a3,1.0,Beijing,S5
你认为你所在的产品或项目最需要什么人才，才能够成功？为什么？比如，深刻理解市场的产品经理，技术大牛，开发，测试，运维，销售等等？,从敏捷的观点来看， 成功需要一个cross-function 的团队， 既需要技术大牛， 也需要深刻理解市场的产品经理， 最重要的，团队是一个充分授权的团队， 是一个self-motivated，self-managed的团队.耀眼的英雄的背后， 必然有一个强大的团队,Software Designer,project,4.0,1.0,BU1,2.0,1.0,a3,1.0,Beijing,S5
"David Kenny在上午的TownHall上说""Powerpoint is neither powerful or pointed"". 你怎么看？","the effect of the powerpoint may be dis-a-p-pointed. let powerpoint go hell, go to the first line, listen to the engineer and team, face the issues directly from both client and team. do not watch ppt  from morning to night, it is the power of agile",Software Designer,others,12.0,0.6416666666666666,BU1,2.0,1.0,a3,1.0,Beijing,S5
Who updates first in your stand up meeting? ,好,Software Designer,others,12.0,0.5,BU1,2.0,1.0,a3,1.0,Beijing,S5
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,可以参考有些公司的做法，比如sap，在办公室某个会议室设为为儿童活动区，有专门的志愿者轮流为孩子举办各种益智活动，玩具，让家长和孩子都过一个愉快的假期。,Software Developer,company management,1.0,1.0,BU1,2.0,1.0,a3,0.0,Xi'an,S4
我们新装修的Agile workspace， 你觉得还有味吗？,"有味道,时间长了嗓子还是不舒服",Software Developer,environment+agile,10.0,0.0,BU1,2.0,1.0,a2,1.0,Beijing,S7
Do you like our new Agile Open Office?,yes,Software Developer,environment+agile,10.0,1.0,BU1,2.0,1.0,a1,0.0,Beijing,S0
Who updates first in your stand up meeting? ,not sure,Software Developer,others,12.0,0.375,BU1,2.0,1.0,a1,0.0,Beijing,S0
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",尽管ibm 拥有着非常棒的服务器和数据库产品，但是繁杂的配置和更新 让企业望而却步。我觉得ibm的产品应该轻装简行，重视企业服务核心价值,Software Developer,IBM,3.0,0.5,BU1,1.0,1.0,a1,1.0,Ningbo,S3
Do you like our new Agile Open Office?,喜欢,Software Developer,environment+agile,10.0,1.0,BU1,1.0,1.0,a1,0.0,Beijing,S0
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",做好自己的工作,Software Developer,IBM,3.0,0.5,BU1,1.0,1.0,a1,0.0,Beijing,S0
Do you like our new Agile Open Office?,like very much,Software Developer,environment+agile,10.0,0.63,BU1,1.0,1.0,a1,0.0,Beijing,S0
我们新装修的Agile workspace， 你觉得还有味吗？,yes,Software Developer,environment+agile,10.0,0.5,BU1,1.0,1.0,a1,1.0,Beijing,S1
说到工程师文化，你想到的前三个词是什么？例如： 自由，效率，平等，尊重，信任，创新，简化流程，快速迭代，一切以解决问题为导向等等,"自由, 创新, 效率",Software Architect,engineer,6.0,1.0,BU10,5.0,1.0,a5,1.0,Shanghai,S12
Pls recommend the most effective open technology skill development approach you believe,"microservice, continuous integration, 100% automation, docker",Software Architect,open source,9.0,0.5,BU10,5.0,1.0,a5,1.0,Shanghai,S12
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",do not complain. focus on what you can control.,Software Architect,IBM,3.0,0.5,BU10,5.0,1.0,a4,1.0,Shanghai,S14
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,customer need first - based on today's environment that usually represents a technical challenge for us,Software Architect,transformation,11.0,0.5,BU10,5.0,1.0,a4,1.0,Shanghai,S14
你最喜欢的Whitewater工具是什么？,"git, slack, safari books online",Software Architect,others,12.0,0.5,BU10,5.0,1.0,a4,1.0,Shanghai,S14
你觉得IBM是技术导向的么？,we are not and should be.,Software Architect,IBM,3.0,0.5,BU10,5.0,1.0,a4,1.0,Shanghai,S14
你认为你所在的产品或项目最需要什么人才，才能够成功？为什么？比如，深刻理解市场的产品经理，技术大牛，开发，测试，运维，销售等等？,这些人才都需要啊，任何成功的产品都离不开这些角色的分工配合，再加上些许运气。,Software Architect,project,4.0,1.0,BU10,5.0,1.0,a4,1.0,Shanghai,S14
如何才能在Lab工作的每一天都有好心情,to fell in love with what're you are doing.,Software Architect,work,0.0,0.75,BU10,5.0,1.0,a4,1.0,Shanghai,S14
Pls recommend the most effective open technology skill development approach you believe,to learn from project - real projects. also i found safari books online is a very good resource to learn new technologies.,Software Architect,open source,9.0,0.7077272727272726,BU10,5.0,1.0,a4,1.0,Shanghai,S14
你最喜欢的Whitewater工具是什么？,"slack, git",Software Release Manager,others,12.0,0.5,BU10,4.0,0.0,a5,1.0,Beijing,S17
你希望公司管理层（BUE及以上，包括CDL或CDL外）应该继续做什么（keep doing）？,test,Software Developer,company management,1.0,0.5,BU10,3.0,0.0,a4,1.0,Shanghai,S8
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,我倾向于赞成带小朋友进公司，通常出现这种情况是因为实在没办法。但对我们公司员工家长提出更高的要求：签订相关协议，固定活动区域，不影响工作环境。,Project Manager,company management,1.0,1.0,BU10,3.0,0.0,a4,1.0,Shanghai,S8
Pls recommend the most effective open technology skill development approach you believe,"automation, cicd, microservice, vagrant, maven",Project Manager,open source,9.0,0.5,BU10,3.0,0.0,a4,1.0,Shanghai,S8
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,堵不如疏，单位应该设置专门供孩子玩耍或者看书的地方，最好派专人陪护一下;或者可以考虑由公司出面在寒暑假的时候在公司附近租个地方集中办个托管班，家长支付一定费用。,Software Test Specialist,company management,1.0,1.0,BU10,3.0,1.0,a4,1.0,Beijing,S9
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,"providing an area in office for these kids maybe better. found some volunteers to take care of them, maybe their parents would like to pay some money for this.",Software Developer,company management,1.0,0.75,BU10,3.0,1.0,a3,1.0,Beijing,S9
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,假期组织统一托管班,Software Developer,company management,1.0,1.0,BU10,3.0,1.0,a3,0.0,Beijing,S11
Pls recommend the most effective open technology skill development approach you believe,i think github.com/github.ibm.com is a very good resource to learn new technologies,Software Developer,open source,9.0,0.7615909090909091,BU10,3.0,1.0,a2,1.0,Shanghai,S8
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,带孩子来的一般都是万不得已，尤其是寒暑假期间，家里有点事没人带孩子可公司还有事情，那带孩子来可以理解。控制下噪音就行了。其实公司完全可以在寒暑假临时组织一个内部托班，公司找人和场地或者联系外面的托班，员工交钱。,Software Test Specialist,company management,1.0,0.5,BU10,3.0,1.0,a2,1.0,Beijing,S6
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,1. 我没有觉得带的小朋友对我们有什么影响，反而觉得挺好的 2. 安全问题公司可以声明出了问题家长自付，与公司无关 3. 我觉得若不是不得已没人看，家长是不愿意带孩子来的，公司若不同意就只能在家办公了，这会影响和同事的交流 4. 澳洲国会都允许边发言边给孩子喂奶，带着能自理的孩子上班有什么大不了的,Software Developer,company management,1.0,0.3333333333333333,BU10,3.0,1.0,a2,0.0,Beijing,S6
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,1. 我没有觉得带的小朋友对我们有什么影响，反而觉得挺好的 2. 安全问题公司可以声明出了问题家长自付，与公司无关 3. 我觉得若不是不得已没人看，家长是不愿意带孩子来的，公司若不同意就只能在家办公了，这会影响和同事的交流 4. 澳洲国会都允许边发言边给孩子喂奶，带着能自理的孩子上班有什么大不了的,Software Developer,company management,1.0,0.3333333333333333,BU10,3.0,1.0,a2,0.0,Beijing,S6
Pls recommend the most effective open technology skill development approach you believe,您的回答内容,Software Developer,open source,9.0,0.5,BU10,2.0,1.0,a3,1.0,Shanghai,S9
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,如果不想让带就制定policy和处罚措施，如果让带就做好准备和陪护工作,Software Test Specialist,company management,1.0,0.0,BU10,2.0,1.0,a3,0.0,Beijing,S6
Pls recommend the most effective open technology skill development approach you believe,agree,Software Developer,open source,9.0,0.5,BU10,2.0,1.0,a2,1.0,Shanghai,S9
工程师的日常生活里，你觉得甚么最需要去改变？(e.g. 工作态度，社交活动，生活习惯，创新思考，保持热忱... 等，请自由发挥),生活学习的规律以及对技术的热忱,Software Developer,engineer,6.0,1.0,BU10,1.0,1.0,a1,1.0,Shanghai,S1
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",几年前ibm押注在ai和云计算。但是从当前的情况来看并不乐观，很重要一点方向定为这两个方向需要大量的用户以及数据。然而ibm依然最大的客户是企业而不是一般的客户，导致我们数据及其缺失。我始终认为ibm是一家最缺少数据的ai公司，这一点相比于互联网公司是极大的劣势。在未来我觉得ibm可以从tob到toc逐渐转换，在未来谁拥有更多的数据才有更大的优势。,Software Developer,IBM,3.0,0.45454545454545453,BU10,1.0,1.0,a1,1.0,Shanghai,S1
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,同等重要。ibm本身应该是一个技术驱动型公司，对于新的技术应该积极推动拥抱。其次关于客户体验，当然重要。如果客户体验不好，那么会导致客户流失，必然公司的盈利会受到影响。作为一家最求极致产品的公司，这一点也不可忽视,Software Developer,transformation,11.0,0.5833333333333334,BU10,1.0,1.0,a1,1.0,Shanghai,S1
Do you love IBM?,love！！！,Software Developer,IBM,3.0,0.5,BU10,1.0,1.0,a1,1.0,Shanghai,S1
让你留在IBM的三个原因是什么？,1.妹子2.妹子3.妹子,Software Developer,IBM,3.0,0.5,BU10,1.0,1.0,a1,1.0,Shanghai,S1
你是否有过开会厌烦症？让你厌烦开会的原因有哪些？,确实比较厌烦，我觉得每天开会过于频繁，而且每天开会的时间都在半小时以上，所以希望能够减少开会的频次以及时间,Software Developer,others,12.0,0.2,BU10,1.0,1.0,a1,1.0,Shanghai,S1
"如果开放每个礼拜五可以带毛小孩上班来增加公司活力,你要带什么?",我目前没有小孩，所以我带个毛，哈哈,Software Developer,company management,1.0,1.0,BU10,1.0,1.0,a1,1.0,Shanghai,S1
画质最好的FC(红白机)游戏有哪些？,热血系列，赤影战士，忍龙等,Software Developer,others,12.0,1.0,BU10,1.0,1.0,a1,1.0,Shanghai,S1
至今仍有人以为我们是卖电脑和修电脑的，你怎么看？,说明近十年ibm并没有非常出色的产品，在大众面前的活跃度很低，导致外界一直还以为我们是之前的卖电脑的公司，我觉的这是一个很严肃的问题，需要每一个ibmer去深思,Software Developer,others,12.0,0.0,BU10,1.0,1.0,a1,1.0,Shanghai,S1
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",专注做出一两个拳头产品；找出scale的方式在市场上卖,Functional Manager,IBM,3.0,1.0,BU11,6.0,0.0,a5,0.0,Beijing,S22
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,建议公司可以提供一个公共的区域给来公司的小朋友。,Software Release Manager,company management,1.0,0.5,BU11,4.0,0.0,a4,0.0,Beijing,S10
你希望工作环境发生的一个小改变是什么？,可升降的办公桌，我们可以选择站着活着坐着工作。,Software Release Manager,environment+agile,10.0,1.0,BU11,4.0,0.0,a4,0.0,Beijing,S10
Is the working environment comfortable,需要刷卡的门可以改成类似地铁站的那种吗？这样的话，不用老是用保安站在门口check，大家花很多时间去统计，管理。。。。,Software Release Manager,environment+agile,10.0,0.5,BU11,4.0,0.0,a4,0.0,Beijing,S10
 如果有的话，是什么激励着你每天充满热情来上班？或者现在没有，但如果有的话，你期待是什么？,把产品做的越来越完美,Software Architect,work,0.0,1.0,BU11,4.0,1.0,a4,1.0,Beijing,S11
 如果有的话，是什么激励着你每天充满热情来上班？或者现在没有，但如果有的话，你期待是什么？,"after completing some work, get recognition on the value of this work",Software Release Manager,work,0.0,0.5,BU11,4.0,0.0,a3,0.0,Shanghai,S12
工程师的日常生活里，你觉得甚么最需要去改变？(e.g. 工作态度，社交活动，生活习惯，创新思考，保持热忱... 等，请自由发挥),什么最需要改变，这个实在是因人而异的,Technical Support Professional,engineer,6.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
你希望工作环境发生的一个小改变是什么？,环宇三楼的运动区域能增加一些新的运动器材，目前的太少、太旧了,Technical Support Professional,environment+agile,10.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
你觉得IBM是技术导向的么？,感觉ibm更像是流程导向的,Technical Support Professional,IBM,3.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
